method,hold_days,return_pct,stopped,risk_pct,entry_price,symbol
Fixed 2.5%,6,1.3328763002848756,False,2.500000000000003,1448.0,RELIANCE.NS
Fixed 3.0%,6,1.3328763002848756,False,3.0000000000000036,1448.0,RELIANCE.NS
Fixed 4.0%,6,1.3328763002848756,False,4.000000000000005,1448.0,RELIANCE.NS
Fixed 5.0%,6,1.3328763002848756,False,5.000000000000006,1448.0,RELIANCE.NS
Fixed 7.0%,6,1.3328763002848756,False,7.000000000000009,1448.0,RELIANCE.NS
Fixed 10.0%,6,1.3328763002848756,False,9.999999999999996,1448.0,RELIANCE.NS
Structural (retest low),6,1.3328763002848756,False,3.5290038388078386,1448.0,RELIANCE.NS
1.0x ATR,6,1.3328763002848756,False,1.6187828830561273,1448.0,RELIANCE.NS
1.5x ATR,6,1.3328763002848756,False,2.428174324584199,1448.0,RELIANCE.NS
2.0x ATR,6,1.3328763002848756,False,3.2375657661122705,1448.0,RELIANCE.NS
2.5x ATR,6,1.3328763002848756,False,4.046957207640342,1448.0,RELIANCE.NS
Fixed 1.0%,7,-1.0000000000000013,True,1.0000000000000013,1448.0,RELIANCE.NS
Fixed 1.5%,7,-1.5000000000000018,True,1.5000000000000018,1448.0,RELIANCE.NS
Fixed 2.0%,7,3.266577957743439,False,2.0000000000000027,1448.0,RELIANCE.NS
Fixed 2.5%,7,3.266577957743439,False,2.500000000000003,1448.0,RELIANCE.NS
Fixed 3.0%,7,3.266577957743439,False,3.0000000000000036,1448.0,RELIANCE.NS
Fixed 4.0%,7,3.266577957743439,False,4.000000000000005,1448.0,RELIANCE.NS
Fixed 5.0%,7,3.266577957743439,False,5.000000000000006,1448.0,RELIANCE.NS
Fixed 7.0%,7,3.266577957743439,False,7.000000000000009,1448.0,RELIANCE.NS
Fixed 10.0%,7,3.266577957743439,False,9.999999999999996,1448.0,RELIANCE.NS
Structural (retest low),7,3.266577957743439,False,3.5290038388078386,1448.0,RELIANCE.NS
1.0x ATR,7,3.266577957743439,False,1.6187828830561273,1448.0,RELIANCE.NS
1.5x ATR,7,3.266577957743439,False,2.428174324584199,1448.0,RELIANCE.NS
2.0x ATR,7,3.266577957743439,False,3.2375657661122705,1448.0,RELIANCE.NS
2.5x ATR,7,3.266577957743439,False,4.046957207640342,1448.0,RELIANCE.NS
Fixed 1.0%,10,-1.0000000000000013,True,1.0000000000000013,1448.0,RELIANCE.NS
Fixed 1.5%,10,-1.5000000000000018,True,1.5000000000000018,1448.0,RELIANCE.NS
Fixed 2.0%,10,5.552487873899344,False,2.0000000000000027,1448.0,RELIANCE.NS
Fixed 2.5%,10,5.552487873899344,False,2.500000000000003,1448.0,RELIANCE.NS
Fixed 3.0%,10,5.552487873899344,False,3.0000000000000036,1448.0,RELIANCE.NS
Fixed 4.0%,10,5.552487873899344,False,4.000000000000005,1448.0,RELIANCE.NS
Fixed 5.0%,10,5.552487873899344,False,5.000000000000006,1448.0,RELIANCE.NS
Fixed 7.0%,10,5.552487873899344,False,7.000000000000009,1448.0,RELIANCE.NS
Fixed 10.0%,10,5.552487873899344,False,9.999999999999996,1448.0,RELIANCE.NS
Structural (retest low),10,5.552487873899344,False,3.5290038388078386,1448.0,RELIANCE.NS
1.0x ATR,10,5.552487873899344,False,1.6187828830561273,1448.0,RELIANCE.NS
1.5x ATR,10,5.552487873899344,False,2.428174324584199,1448.0,RELIANCE.NS
2.0x ATR,10,5.552487873899344,False,3.2375657661122705,1448.0,RELIANCE.NS
2.5x ATR,10,5.552487873899344,False,4.046957207640342,1448.0,RELIANCE.NS
Fixed 1.0%,3,-1.0000000000000067,True,1.0000000000000067,1494.5999755859375,RELIANCE.NS
Fixed 1.5%,3,1.130738972977507,False,1.5000000000000024,1494.5999755859375,RELIANCE.NS
Fixed 2.0%,3,1.130738972977507,False,1.9999999999999982,1494.5999755859375,RELIANCE.NS
Fixed 2.5%,3,1.130738972977507,False,2.5000000000000093,1494.5999755859375,RELIANCE.NS
Fixed 3.0%,3,1.130738972977507,False,3.000000000000005,1494.5999755859375,RELIANCE.NS
Fixed 4.0%,3,1.130738972977507,False,3.9999999999999964,1494.5999755859375,RELIANCE.NS
Fixed 5.0%,3,1.130738972977507,False,5.000000000000003,1494.5999755859375,RELIANCE.NS
Fixed 7.0%,3,1.130738972977507,False,7.000000000000001,1494.5999755859375,RELIANCE.NS
Fixed 10.0%,3,1.130738972977507,False,9.999999999999991,1494.5999755859375,RELIANCE.NS
Structural (retest low),3,1.130738972977507,False,7.466879259260409,1494.5999755859375,RELIANCE.NS
1.0x ATR,3,1.130738972977507,False,1.4327805795118367,1494.5999755859375,RELIANCE.NS
1.5x ATR,3,1.130738972977507,False,2.149170869267748,1494.5999755859375,RELIANCE.NS
2.0x ATR,3,1.130738972977507,False,2.8655611590236583,1494.5999755859375,RELIANCE.NS
2.5x ATR,3,1.130738972977507,False,3.581951448779569,1494.5999755859375,RELIANCE.NS
Fixed 1.0%,4,-1.0000000000000067,True,1.0000000000000067,1494.5999755859375,RELIANCE.NS
Fixed 1.5%,4,1.090596085533508,False,1.5000000000000024,1494.5999755859375,RELIANCE.NS
Fixed 2.0%,4,1.090596085533508,False,1.9999999999999982,1494.5999755859375,RELIANCE.NS
Fixed 2.5%,4,1.090596085533508,False,2.5000000000000093,1494.5999755859375,RELIANCE.NS
Fixed 3.0%,4,1.090596085533508,False,3.000000000000005,1494.5999755859375,RELIANCE.NS
Fixed 4.0%,4,1.090596085533508,False,3.9999999999999964,1494.5999755859375,RELIANCE.NS
Fixed 5.0%,4,1.090596085533508,False,5.000000000000003,1494.5999755859375,RELIANCE.NS
Fixed 7.0%,4,1.090596085533508,False,7.000000000000001,1494.5999755859375,RELIANCE.NS
Fixed 10.0%,4,1.090596085533508,False,9.999999999999991,1494.5999755859375,RELIANCE.NS
Structural (retest low),4,1.090596085533508,False,7.466879259260409,1494.5999755859375,RELIANCE.NS
1.0x ATR,4,1.090596085533508,False,1.4327805795118367,1494.5999755859375,RELIANCE.NS
1.5x ATR,4,1.090596085533508,False,2.149170869267748,1494.5999755859375,RELIANCE.NS
2.0x ATR,4,1.090596085533508,False,2.8655611590236583,1494.5999755859375,RELIANCE.NS
2.5x ATR,4,1.090596085533508,False,3.581951448779569,1494.5999755859375,RELIANCE.NS
Fixed 1.0%,5,-1.0000000000000067,True,1.0000000000000067,1494.5999755859375,RELIANCE.NS
Fixed 1.5%,5,1.6258563645833395,False,1.5000000000000024,1494.5999755859375,RELIANCE.NS
Fixed 2.0%,5,1.6258563645833395,False,1.9999999999999982,1494.5999755859375,RELIANCE.NS
Fixed 2.5%,5,1.6258563645833395,False,2.5000000000000093,1494.5999755859375,RELIANCE.NS
Fixed 3.0%,5,1.6258563645833395,False,3.000000000000005,1494.5999755859375,RELIANCE.NS
Fixed 4.0%,5,1.6258563645833395,False,3.9999999999999964,1494.5999755859375,RELIANCE.NS
Fixed 5.0%,5,1.6258563645833395,False,5.000000000000003,1494.5999755859375,RELIANCE.NS
Fixed 7.0%,5,1.6258563645833395,False,7.000000000000001,1494.5999755859375,RELIANCE.NS
Fixed 10.0%,5,1.6258563645833395,False,9.999999999999991,1494.5999755859375,RELIANCE.NS
Structural (retest low),5,1.6258563645833395,False,7.466879259260409,1494.5999755859375,RELIANCE.NS
1.0x ATR,5,1.6258563645833395,False,1.4327805795118367,1494.5999755859375,RELIANCE.NS
1.5x ATR,5,1.6258563645833395,False,2.149170869267748,1494.5999755859375,RELIANCE.NS
2.0x ATR,5,1.6258563645833395,False,2.8655611590236583,1494.5999755859375,RELIANCE.NS
2.5x ATR,5,1.6258563645833395,False,3.581951448779569,1494.5999755859375,RELIANCE.NS
Fixed 1.0%,6,-1.0000000000000067,True,1.0000000000000067,1494.5999755859375,RELIANCE.NS
Fixed 1.5%,6,1.5857134771393402,False,1.5000000000000024,1494.5999755859375,RELIANCE.NS
Fixed 2.0%,6,1.5857134771393402,False,1.9999999999999982,1494.5999755859375,RELIANCE.NS
Fixed 2.5%,6,1.5857134771393402,False,2.5000000000000093,1494.5999755859375,RELIANCE.NS
Fixed 3.0%,6,1.5857134771393402,False,3.000000000000005,1494.5999755859375,RELIANCE.NS
Fixed 4.0%,6,1.5857134771393402,False,3.9999999999999964,1494.5999755859375,RELIANCE.NS
Fixed 5.0%,6,1.5857134771393402,False,5.000000000000003,1494.5999755859375,RELIANCE.NS
Fixed 7.0%,6,1.5857134771393402,False,7.000000000000001,1494.5999755859375,RELIANCE.NS
Fixed 10.0%,6,1.5857134771393402,False,9.999999999999991,1494.5999755859375,RELIANCE.NS
Structural (retest low),6,1.5857134771393402,False,7.466879259260409,1494.5999755859375,RELIANCE.NS
1.0x ATR,6,1.5857134771393402,False,1.4327805795118367,1494.5999755859375,RELIANCE.NS
1.5x ATR,6,1.5857134771393402,False,2.149170869267748,1494.5999755859375,RELIANCE.NS
2.0x ATR,6,1.5857134771393402,False,2.8655611590236583,1494.5999755859375,RELIANCE.NS
2.5x ATR,6,1.5857134771393402,False,3.581951448779569,1494.5999755859375,RELIANCE.NS
Fixed 1.0%,7,-1.0000000000000067,True,1.0000000000000067,1494.5999755859375,RELIANCE.NS
Fixed 1.5%,7,1.6593101320239538,False,1.5000000000000024,1494.5999755859375,RELIANCE.NS
Fixed 2.0%,7,1.6593101320239538,False,1.9999999999999982,1494.5999755859375,RELIANCE.NS
Fixed 2.5%,7,1.6593101320239538,False,2.5000000000000093,1494.5999755859375,RELIANCE.NS
Fixed 3.0%,7,1.6593101320239538,False,3.000000000000005,1494.5999755859375,RELIANCE.NS
Fixed 4.0%,7,1.6593101320239538,False,3.9999999999999964,1494.5999755859375,RELIANCE.NS
Fixed 5.0%,7,1.6593101320239538,False,5.000000000000003,1494.5999755859375,RELIANCE.NS
Fixed 7.0%,7,1.6593101320239538,False,7.000000000000001,1494.5999755859375,RELIANCE.NS
Fixed 10.0%,7,1.6593101320239538,False,9.999999999999991,1494.5999755859375,RELIANCE.NS
Structural (retest low),7,1.6593101320239538,False,7.466879259260409,1494.5999755859375,RELIANCE.NS
1.0x ATR,7,1.6593101320239538,False,1.4327805795118367,1494.5999755859375,RELIANCE.NS
1.5x ATR,7,1.6593101320239538,False,2.149170869267748,1494.5999755859375,RELIANCE.NS
2.0x ATR,7,1.6593101320239538,False,2.8655611590236583,1494.5999755859375,RELIANCE.NS
2.5x ATR,7,1.6593101320239538,False,3.581951448779569,1494.5999755859375,RELIANCE.NS
Fixed 1.0%,10,-1.0000000000000067,True,1.0000000000000067,1494.5999755859375,RELIANCE.NS
Fixed 1.5%,10,3.4791918138239035,False,1.5000000000000024,1494.5999755859375,RELIANCE.NS
