symbol,stage,quality_score,quality_grade,last_close,last_date,P0_base_level,BOS1_date,BOS1_price,P1_resistance,Retest_date,Retest_price,Reaccum_bars,Reversal_date,Reversal_price,num_reversals,volatility_contracted,atr_contraction_ratio,distance_to_p1_pct,BOS2_date,BOS2_price,bars_since_bos2,confluence_score,bos1_weekly_confluence,nse_volume_gainer,volume_gainer_source,volume_surge_multiple,today_volume,avg_volume_20d,volume_vs_avg_multiple,entry_date,entry_price_ref,stop_loss,risk_pct,target_price,target_pct,reward_risk,exit_by_min_date,exit_by_max_date,notes
JINDWORLD,STALE_BOS2,46.0,D - Weak / Low-Quality,49.48,2026-09-17,35.22,2026-07-21,37.64,39.39,2026-07-24,33.34,6,,,0,False,1.22,0.0,2026-08-03,40.41,33.0,4/9,2/3,False,,,815851.0,35860304.0,0.02,,,,,,,,,,Breakout already played out (beyond recency window)
TVSSRICHAK,STALE_BOS2,46.0,D - Weak / Low-Quality,4825.0,2026-09-17,4628.0,2026-08-17,4868.9,4930.0,2026-08-19,4625.1,5,,,0,False,1.15,0.0,2026-08-26,5311.8,15.0,3/9,3/3,False,,,2086.0,34325.0,0.06,,,,,,,,,,Breakout already played out (beyond recency window)
NACLIND,STALE_BOS2,46.0,D - Weak / Low-Quality,156.25,2026-09-17,196.29,2026-06-22,215.83,220.9,2026-06-24,193.11,5,,,0,False,0.99,0.0,2026-07-01,222.39,56.0,3/9,3/3,False,,,57718.0,357784.0,0.16,,,,,,,,,,Breakout already played out (beyond recency window)
PANAMAPET,STALE_BOS2,46.0,D - Weak / Low-Quality,460.6,2026-09-17,366.8,2026-06-10,381.55,408.85,2026-06-11,367.35,6,,,0,False,1.09,0.0,2026-06-19,483.25,64.0,4/9,2/3,False,,,26778.0,252782.0,0.11,,,,,,,,,,Breakout already played out (beyond recency window)
SPAL,STALE_BOS2,46.0,D - Weak / Low-Quality,985.0,2026-09-17,849.5,2026-06-15,867.85,931.25,2026-06-16,827.0,6,,,0,False,1.54,0.0,2026-06-24,1109.1,59.0,3/9,3/3,False,,,2089.0,109914.0,0.02,,,,,,,,,,Breakout already played out (beyond recency window)
GOKULAGRO,STALE_BOS2,45.0,D - Weak / Low-Quality,221.43,2026-09-17,221.5,2026-04-22,235.49,246.0,2026-04-24,222.2,87,2026-07-29,223.2,3,False,0.87,0.0,2026-08-25,252.85,14.0,3/9,3/3,False,,,21266.0,763591.0,0.03,,,,,,,,,,Breakout already played out (beyond recency window)
ADANIENSOL,STALE_BOS2,42.7,D - Weak / Low-Quality,1347.0,2026-09-17,1614.8,2026-07-06,1622.8,1712.0,2026-07-09,1610.1,8,,,0,False,0.96,0.0,2026-07-21,1741.6,41.0,2/9,3/3,False,,,83121.0,3874712.0,0.02,,,,,,,,,,Breakout already played out (beyond recency window)
IDEA,STALE_BOS2,42.7,D - Weak / Low-Quality,14.33,2026-09-17,12.8,2026-05-13,12.83,13.33,2026-05-18,12.45,5,,,0,False,0.89,0.0,2026-05-25,14.04,83.0,2/9,3/3,False,,,34417918.0,397685826.0,0.09,,,,,,,,,,Breakout already played out (beyond recency window)
BSE,STALE_BOS2,42.7,D - Weak / Low-Quality,3270.3,2026-09-17,3570.0,2026-04-28,3626.1,3994.0,2026-05-12,3840.3,5,,,0,False,1.17,0.0,2026-05-19,4190.8,86.0,3/9,2/3,False,,,313335.0,4064829.0,0.08,,,,,,,,,,Breakout already played out (beyond recency window)
RRKABEL,STALE_BOS2,42.7,D - Weak / Low-Quality,2389.1,2026-09-17,2549.0,2026-07-28,2576.9,2775.0,2026-07-29,2535.0,5,,,0,False,0.88,0.0,2026-08-05,2793.0,29.0,2/9,3/3,False,,,36161.0,560808.0,0.06,,,,,,,,,,Breakout already played out (beyond recency window)
ARVIND,STALE_BOS2,42.7,D - Weak / Low-Quality,546.35,2026-09-17,514.85,2026-06-19,516.6,525.0,2026-06-23,508.7,5,,,0,False,1.13,0.0,2026-06-30,587.1,55.0,2/9,3/3,False,,,74141.0,766082.0,0.1,,,,,,,,,,Breakout already played out (beyond recency window)
SKYGOLD,STALE_BOS2,42.7,D - Weak / Low-Quality,797.95,2026-09-17,689.9,2026-08-03,691.85,700.0,2026-08-04,673.25,6,,,0,False,1.11,0.0,2026-08-12,833.1,25.0,3/9,2/3,False,,,56613.0,811719.0,0.07,,,,,,,,,,Breakout already played out (beyond recency window)
RAIN,STALE_BOS2,42.7,D - Weak / Low-Quality,200.0,2026-09-17,218.9,2026-07-21,223.4,225.2,2026-07-23,214.32,8,,,0,False,0.98,0.0,2026-08-04,238.07,30.0,3/9,2/3,False,,,593726.0,4128677.0,0.14,,,,,,,,,,Breakout already played out (beyond recency window)
GREAVESCOT,STALE_BOS2,42.7,D - Weak / Low-Quality,189.11,2026-09-17,195.95,2026-06-19,198.54,218.0,2026-06-24,204.1,6,,,0,False,1.17,0.0,2026-07-02,231.03,54.0,3/9,2/3,False,,,69377.0,693880.0,0.1,,,,,,,,,,Breakout already played out (beyond recency window)
PSPPROJECT,STALE_BOS2,42.7,D - Weak / Low-Quality,831.3,2026-09-17,960.0,2026-06-19,969.1,996.0,2026-06-23,958.2,9,,,0,False,0.91,0.0,2026-07-06,1099.0,50.0,2/9,3/3,False,,,10284.0,38832.0,0.26,,,,,,,,,,Breakout already played out (beyond recency window)
SYNCOMF,STALE_BOS2,42.7,D - Weak / Low-Quality,18.54,2026-09-17,17.2,2026-08-25,17.56,18.15,2026-08-26,16.86,5,,,0,False,1.4,0.0,2026-09-02,21.39,11.0,3/9,2/3,False,,,886895.0,13681219.0,0.06,,,,,,,,,,Breakout already played out (beyond recency window)
IKIO,STALE_BOS2,42.7,D - Weak / Low-Quality,206.63,2026-09-17,187.0,2026-07-03,202.82,205.4,2026-07-08,178.0,7,,,0,False,1.2,0.0,2026-07-17,219.37,43.0,3/9,2/3,False,,,45441.0,881794.0,0.05,,,,,,,,,,Breakout already played out (beyond recency window)
UDS,STALE_BOS2,42.7,D - Weak / Low-Quality,192.68,2026-09-17,213.9,2026-08-19,216.63,221.09,2026-08-21,210.82,7,,,0,False,1.05,0.0,2026-09-01,227.12,9.0,3/9,2/3,False,,,13317.0,452286.0,0.03,,,,,,,,,,Breakout already played out (beyond recency window)
ANDHRSUGAR,STALE_BOS2,42.7,D - Weak / Low-Quality,94.44,2026-09-17,85.89,2026-04-15,86.13,92.7,2026-04-22,89.15,5,,,0,False,1.13,0.0,2026-04-29,101.17,99.0,3/9,2/3,False,,,27501.0,716300.0,0.04,,,,,,,,,,Breakout already played out (beyond recency window)
AVADHSUGAR,STALE_BOS2,42.7,D - Weak / Low-Quality,726.0,2026-09-17,562.0,2026-08-04,615.05,645.9,2026-08-06,591.45,7,,,0,False,1.41,0.0,2026-08-17,725.25,20.0,2/9,3/3,False,,,5076.0,385043.0,0.01,,,,,,,,,,Breakout already played out (beyond recency window)
BLUEJET,STALE_BOS2,42.6,D - Weak / Low-Quality,569.65,2026-09-17,547.6,2026-07-01,549.15,577.95,2026-07-06,548.3,5,,,0,False,0.99,0.0,2026-07-13,606.3,48.0,4/9,1/3,False,,,154923.0,418737.0,0.37,,,,,,,,,,Breakout already played out (beyond recency window)
NESTLEIND,STALE_BOS2,42.0,D - Weak / Low-Quality,1385.4,2026-09-17,1340.4,2026-04-21,1379.9,1498.1,2026-05-20,1398.5,51,2026-07-20,1446.3,5,False,0.95,0.0,2026-07-30,1520.7,34.0,3/9,3/3,False,,,25642.0,1168335.0,0.02,,,,,,,,,,Breakout already played out (beyond recency window)
NORTHARC,STALE_BOS2,42.0,D - Weak / Low-Quality,302.0,2026-09-17,285.0,2026-05-06,286.7,321.7,2026-05-14,282.75,41,2026-07-10,325.3,5,False,1.13,0.0,2026-07-10,325.3,48.0,3/9,3/3,False,,,173290.0,2724446.0,0.06,,,,,,,,,,Breakout already played out (beyond recency window)
GRINDWELL,STALE_BOS2,39.4,D - Weak / Low-Quality,1855.2,2026-09-17,2002.7,2026-06-15,2023.1,2130.0,2026-06-17,2044.5,6,,,0,False,1.1,0.0,2026-06-25,2228.0,57.0,2/9,2/3,False,,,541.0,21857.0,0.02,,,,,,,,,,Breakout already played out (beyond recency window)
DLINKINDIA,STALE_BOS2,39.4,D - Weak / Low-Quality,422.9,2026-09-17,499.15,2026-06-10,501.45,519.8,2026-06-11,488.0,5,,,0,False,0.87,0.0,2026-06-18,526.3,63.0,2/9,2/3,False,,,6952.0,208641.0,0.03,,,,,,,,,,Breakout already played out (beyond recency window)
NETWEB,STALE_BOS2,38.7,D - Weak / Low-Quality,4496.0,2026-09-17,4492.0,2026-05-29,4670.7,4925.7,2026-06-02,4552.3,52,2026-08-13,5181.0,5,False,1.03,0.0,2026-08-13,5181.0,24.0,2/9,3/3,False,,,272665.0,1839691.0,0.15,,,,,,,,,,Breakout already played out (beyond recency window)
SKIPPER,STALE_BOS2,38.7,D - Weak / Low-Quality,523.5,2026-09-17,523.9,2026-05-29,549.35,576.5,2026-06-02,540.05,68,2026-09-03,546.9,6,False,0.95,0.0,2026-09-04,591.1,8.0,3/9,2/3,False,,,315099.0,1645802.0,0.19,,,,,,,,,,Breakout already played out (beyond recency window)
MANKIND,STALE_BOS2,36.0,D - Weak / Low-Quality,2251.2,2026-09-17,2408.6,2026-05-08,2430.8,2510.0,2026-05-13,2352.1,5,,,0,False,1.0,0.0,2026-05-20,2583.9,85.0,1/9,2/3,False,,,11463.0,286271.0,0.04,,,,,,,,,,Breakout already played out (beyond recency window)
KIRLPNU,STALE_BOS2,36.0,D - Weak / Low-Quality,697.3,2026-09-17,610.8,2026-04-13,619.15,687.15,2026-04-24,660.0,6,,,0,False,1.46,0.0,2026-05-04,781.5,95.0,1/9,2/3,False,,,5300.0,155453.0,0.03,,,,,,,,,,Breakout already played out (beyond recency window)
